medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
AMOXICILINA 500 MG BLISTER X 10 CAJA X50,Cápsulas,Antibiótico utilizado para tratar infecciones bacterianas.,Amoxicilina,"500 mg cada 8 horas durante 7 a 10 días, según la indicación médica.",Inhibe la síntesis de la pared celular bacteriana.
ARGININA FORTE 10 AMP BEBIBLES,Ampollas bebibles,Suplemento nutricional utilizado para mejorar el rendimiento físico y la recuperación.,Arginina,"1 ampolla al día, preferiblemente antes de la actividad física.",Aminoácido que mejora la circulación sanguínea y la producción de óxido nítrico.
AZITROMICINA 500 MG B X 5 CAJA X 30,Tabletas,Antibiótico utilizado para tratar diversas infecciones bacterianas.,Azitromicina,500 mg una vez al día durante 3 días.,Inhibe la síntesis de proteínas bacterianas.
AZITROMICINA POLVO SUSP 200 MG/5ML 15ML,Polvo para suspensión oral,Antibiótico para infecciones bacterianas en niños.,Azitromicina,10 mg/kg una vez al día durante 3 días.,Inhibe la síntesis de proteínas bacterianas.
CEFRADOXILO 500 MG CAP CAJA X 30 BLIS X 10,Cápsulas,Antibiótico para tratar infecciones bacterianas.,Cefadroxilo,500 mg cada 12 horas durante 7 a 14 días.,Inhibe la síntesis de la pared celular bacteriana.
CIPROFLOXACINA 500 MG CAJA X 60 BL X 10,Tabletas,Antibiótico utilizado para tratar infecciones bacterianas graves.,Ciprofloxacina,500 mg cada 12 horas durante 7 a 14 días.,Inhibe la replicación del ADN bacteriano.
DEXTRIUM PLUS 75MG/25MG CAJA X 10 (DEX/TRAM),Tabletas,Analgésico para el alivio del dolor moderado a severo.,Dextropropoxifeno/Tramadol,1 tableta cada 6 a 8 horas según necesidad y prescripción médica.,Actúa sobre el sistema nervioso central para aliviar el dolor.
DICLOFENACO GOTAS DE 15 ML,Gotas orales,Antiinflamatorio no esteroideo para el alivio del dolor e inflamación.,Diclofenaco,25 a 50 mg cada 8 horas según necesidad y prescripción médica.,"Inhibe la síntesis de prostaglandinas, reduciendo la inflamación y el dolor."
DONADAX CAJA X 10 TABS,Tabletas,Medicamento utilizado para el tratamiento de trastornos gastrointestinales.,Domperidona,10 mg tres veces al día antes de las comidas.,Antagonista de los receptores de dopamina que aumenta la motilidad gástrica.
ESOGASTRIC 10 MG CAJA X 15 SOBRES,Sobres,Inhibidor de la bomba de protones para el tratamiento del reflujo gastroesofágico.,Esomeprazol,"10 mg una vez al día, preferiblemente por la mañana.",Reduce la producción de ácido gástrico en el estómago.
FAMOXIDE 40 MG CAJA DE 10 COMPRIMIDOS,Comprimidos,"Tratamiento de úlceras gástricas y duodenales, y esofagitis por reflujo.",Famotidina,"1 comprimido de 40 mg al día, preferiblemente antes de acostarse.",Inhibidor de la secreción ácida gástrica.
FENITOINA SOD 100MG CAJA X 100 CAPS BLIST X 10,Cápsulas,Tratamiento de crisis epilépticas y convulsiones.,Fenitoína sódica,1 cápsula de 100 mg tres veces al día.,Anticonvulsivante.
FERKEL F-800 CAJA X 30 CAPS BLIST X 5,Cápsulas,Suplemento nutricional para deficiencia de hierro.,Hierro,1 cápsula al día.,Suplemento de hierro.
IRS GOTAS DE 20 ML,Gotas,Tratamiento de rinitis alérgica y síntomas de resfriado.,Desloratadina,10 gotas una vez al día.,Antihistamínico.
IRS JARABE DE 120 ML,Jarabe,Tratamiento de rinitis alérgica y síntomas de resfriado.,Desloratadina,5 ml una vez al día.,Antihistamínico.
IRS TABELTA BLIST X 10 CAJA X 20,Tabletas,Tratamiento de rinitis alérgica y síntomas de resfriado.,Desloratadina,1 tableta de 5 mg una vez al día.,Antihistamínico.
LORATADINA 10 MG BLIST X 10 CAJA X 100,Tabletas,Tratamiento de alergias como rinitis y urticaria.,Loratadina,1 tableta de 10 mg una vez al día.,Antihistamínico.
METOCARBAN AC 500 MG BLIST X 10 CAJA X 30 TAB,Tabletas,Alivio del dolor muscular y espasmos.,Metocarbamol,1 tableta de 500 mg tres veces al día.,Relajante muscular.
NEUROFORTAN BLISTER X 5 CAJA X 60,Tabletas,Suplemento para el sistema nervioso.,Complejo B,1 tableta al día.,Suplemento vitamínico.
NUTRISON H3 PLUS CAJA X 30,Líquido,Nutrición enteral completa.,Nutrientes esenciales,"Según indicación médica, generalmente 1-2 botellas al día.",Nutrición enteral.
NUTRISON JBE NIÑOS 240 ML,Jarabe,Suplemento nutricional para niños,Mezcla de nutrientes,"Administrar según indicaciones del médico, generalmente 1-2 veces al día",Proporciona nutrientes esenciales para el crecimiento y desarrollo
PASINERVA CAJA X 30 CAPS BLISTER X 5,Cápsulas,Suplemento para el sistema nervioso,Extractos de plantas y vitaminas,"Tomar 1 cápsula al día, preferiblemente por la mañana",Ayuda a mantener el equilibrio del sistema nervioso
PAVERIN COMPUESTO CAJA X 20 TAB BLIST X 5,Tabletas,Alivio de espasmos y dolor abdominal,Clorhidrato de papaverina,Tomar 1-2 tabletas cada 8 horas según necesidad,Relaja los músculos lisos y alivia el dolor
PIREX 100 MGS DISPENSADOR X 12 CAJA X 2 TAB,Tabletas,Antipirético y analgésico,Paracetamol,"Tomar 1 tableta cada 6-8 horas según necesidad, no exceder 4 tabletas al día",Reduce la fiebre y alivia el dolor
VITAMINAS PRENATALES X 100 BLIST X 10,Tabletas,Suplemento vitamínico para mujeres embarazadas,Multivitamínico,Tomar 1 tableta al día con una comida,Proporciona vitaminas y minerales esenciales durante el embarazo
ZINC 20 MG KIPP B X 10 TAB CAJA X 30,Tabletas,Suplemento de zinc,Zinc,Tomar 1 tableta al día con una comida,Apoya el sistema inmunológico y la salud celular
