id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE RECINO 1 ONZ LASANA,"{'BOTELLA': [1, 12.0]}",Aceite,Laxante,Aceite de ricino,Según indicación médica,Estimula el peristaltismo intestinal,1,5.0,6.85,12.0,0.4291666666666667,34.25,60.0
2,ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,"{'BLISTER': [10, 2.5], 'CAJA': [100, 25.0]}",Tableta,Analgésico y antipirético,Acetaminofen,500 mg,Alivio del dolor y reducción de la fiebre,2,56.0,1.418,2.5,0.4328,79.408,140.0
3,ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,"{'FRASCO': [1, 38.0]}",Suspensión oral,Tratamiento de infecciones causadas por el virus del herpes simple y herpes zóster,Aciclovir,400 mg/5ml,Antiviral,3,1.0,19.95,38.0,0.475,19.95,38.0
4,ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,"{'BLISTER': [10, 2.5], 'CAJA': [100, 25.0]}",Tableta,"Analgésico, antiinflamatorio y antipirético",Ácido Acetilsalicílico,100 mg,Inhibidor de la síntesis de prostaglandinas,4,5.0,0.8,2.5,0.6799999999999999,4.0,12.5
5,ACIDO BORICO POLVO 1 ONZ BOLSA X 8,"{'CAJA': [8, 40.0], 'BOLSA': [1, 5.0]}",Polvo,Antiséptico y desinfectante,Ácido bórico,Según indicación médica,Antiséptico y desinfectante,5,11.0,1.65,5.0,0.67,18.15,55.0
6,ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,"{'FRASCO': [1, 7.0]}",Suspensión,Antiparasitario utilizado en el tratamiento de infecciones causadas por parásitos intestinales como lombrices y tenias.,Albendazol,400 mg,"Antihelmíntico de amplio espectro que actúa impidiendo la absorción de glucosa en los parásitos, lo que lleva a su muerte.",6,4.0,3.25,7.0,0.5357142857142857,13.0,28.0
7,ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,"{'CAJA': [2, 10.0], 'TABLETA': [1, 5.0]}",Tabletas,Antiparasitario para el tratamiento de infecciones causadas por parásitos intestinales,Albendazol,400 mg por tableta,Antihelmíntico de amplio espectro,7,9.0,1.2,5.0,0.76,10.8,45.0
8,ALCOHOL  ELITICO70% 1/2 LITRO VESA,"{'BOTE': [1, 17.0]}",Solución,Desinfectante de uso tópico,Alcohol etílico al 70%,"Aplicar sobre la piel limpia y seca, sin diluir",Antiséptico y desinfectante,8,2.0,9.9,17.0,0.4176470588235293,19.8,34.0
9,ALCOHOL ALCANFORADO 120 ML SANTE,"{'BOTE': [1, 8.0]}",Solución tópica,Antiséptico y desinfectante de uso externo,Alcohol etílico y alcanfor,Aplicar sobre la piel limpia la cantidad necesaria y frotar suavemente,"Antiséptico, desinfectante y refrescante",9,3.0,4.55,8.0,0.43125,13.65,24.0
10,ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Tratamiento de la gota y la hiperuricemia,Allopurinol,300 mg,Inhibidor de la enzima xantina oxidasa,10,34.0,3.0,5.0,0.4,102.0,170.0
