medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
AMPICILINA 500 MG BLISTER X 10 CAJA X 100,Cápsula,Antibiótico utilizado para tratar infecciones bacterianas.,Ampicilina,"500 mg cada 6 horas durante 7 a 14 días, según la indicación médica.",Inhibe la síntesis de la pared celular bacteriana.
ANARA CAJA X 50 SOBRES BLIST X 4,Sobre,No aplica,No aplica,No aplica,No aplica
BABY STAR SHAMPOO BURBUJA,Líquido,Champú suave para bebés.,No aplica,"Aplicar sobre el cabello mojado, masajear suavemente y enjuagar.",No aplica
BLOQUEADOR SUN CREAM SOLAR 130 ML,Crema,Protector solar para proteger la piel de los rayos UV.,No aplica,Aplicar generosamente sobre la piel 15 minutos antes de la exposición al sol y reaplicar cada 2 horas.,No aplica
BROMUTIL (BROMURO DE OTILONIO) BLIST X 10,Comprimido,Utilizado para aliviar los espasmos del tracto gastrointestinal.,Bromuro de otilonio,40 mg dos o tres veces al día antes de las comidas.,Antiespasmódico que actúa sobre el músculo liso del tracto gastrointestinal.
BRONCO-GRIP TOS,Jarabe,Alivio de la tos y síntomas del resfriado.,No aplica,Tomar 10 ml cada 6 a 8 horas según necesidad.,No aplica
BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,Comprimido,Antiinflamatorio no esteroideo para el alivio del dolor y la inflamación.,Fenilbutazona,"100-200 mg dos o tres veces al día, según la indicación médica.","Inhibe la síntesis de prostaglandinas, reduciendo la inflamación y el dolor."
CARDIO MARIANO FCO X 60 (PROTECTOR HIGADO),Cápsula,Suplemento para la protección del hígado.,Silimarina,Tomar 1 cápsula dos veces al día.,Antioxidante que protege las células hepáticas del daño.
CEPILLO COLGATE PLUS 2 X 1,Cepillo dental,Cepillo dental para la higiene bucal diaria.,No aplica,Usar al menos dos veces al día con pasta dental.,No aplica
CEPILLO DENTAL DENTITO,Cepillo dental,Cepillo dental diseñado para niños.,No aplica,Usar al menos dos veces al día con pasta dental.,No aplica
CEPILLO DURA CLEAN ECONOMICO,No aplica,No aplica,No aplica,Usar para cepillar los dientes según las recomendaciones del dentista,No aplica
CEPILLO ORAL SUAVE SUAVE 35,No aplica,No aplica,No aplica,Usar para cepillar los dientes según las recomendaciones del dentista,No aplica
CITOCOL AZUL No 43,No aplica,No aplica,No aplica,No aplica,No aplica
CREMA ALOE VERA 150 ML,No aplica,No aplica,No aplica,Aplicar sobre la piel según sea necesario,No aplica
CREMA LUBRIDERM 1.5 LT,No aplica,No aplica,No aplica,Aplicar sobre la piel según sea necesario,No aplica
CREMA TEATRICAL ACLARADORA 100 GRS,No aplica,No aplica,No aplica,Aplicar sobre la piel según sea necesario,No aplica
CREMA TEATRICAL ANTI ARRUGAS 100 GRS,No aplica,No aplica,No aplica,Aplicar sobre la piel según sea necesario,No aplica
DESENFRIOL-ITO PLUS CAJA X 24 TABLETAS MASTICABLES,Tabletas masticables,Alivio de síntomas de resfriado común,"Paracetamol, fenilefrina, clorfenamina",Masticar 1-2 tabletas cada 4-6 horas según sea necesario,"Analgésico, descongestionante, antihistamínico"
DESODORANTE GILLETTE GEL H 82 GRS,No aplica,No aplica,No aplica,Aplicar en las axilas según sea necesario,No aplica
DESODORANTE LADY SPEED,No aplica,No aplica,No aplica,Aplicar en las axilas según sea necesario,No aplica
DESODORANTE NIVEA MUJER BARRA,Barra,Uso diario para control del sudor y olor corporal,No aplica,Aplicar diariamente sobre la piel limpia y seca,No aplica
DESODORANTE NIVEA SPRAY HOMBRE 150 ML,Spray,Uso diario para control del sudor y olor corporal,No aplica,Agitar bien antes de usar y aplicar a 15 cm de distancia sobre la piel limpia y seca,No aplica
DESODORANTE REXONA BARRA CLINICAL MUJER,Barra,Uso diario para control del sudor y olor corporal con protección clínica,No aplica,"Aplicar diariamente sobre la piel limpia y seca, preferentemente por la noche",No aplica
DESODORANTE REXONA BARRA MUJER,Barra,Uso diario para control del sudor y olor corporal,No aplica,Aplicar diariamente sobre la piel limpia y seca,No aplica
DEXA NEUROTROPAS X 3 DOSIS,Inyección,Tratamiento para condiciones inflamatorias y dolorosas,Dexametasona,"Administrar según indicación médica, generalmente una dosis cada 24 horas",Antiinflamatorio y analgésico
DOLOFIN DISP X 100,Tabletas,Alivio del dolor y la inflamación,Ibuprofeno,Tomar 1 tableta cada 6-8 horas según necesidad y recomendación médica,Antiinflamatorio no esteroideo (AINE)
ETORICOXIB 60 MG CAJA X 10 TAB CAPLIN,Tabletas,Tratamiento del dolor y la inflamación en enfermedades articulares,Etoricoxib,Tomar 1 tableta al día según indicación médica,Inhibidor selectivo de la COX-2
GLUCOSAMINA+CONDROITINA 3 BLIST X 10 CONAMEP,Tabletas,Suplemento para la salud articular,Glucosamina y Condroitina,Tomar 1-2 tabletas al día con las comidas,Condroprotector
HILO DENTAL ALL NATURALE,Hilo dental,Limpieza interdental para remover placa y residuos de alimentos,No aplica,Usar diariamente después del cepillado dental,No aplica
IBUPROFENO 800 GELCAPS ARGUS BLIST X 10 CAJA X 100,Cápsulas de gel,Alivio del dolor y la inflamación,Ibuprofeno,Tomar 1 cápsula cada 8 horas según necesidad y recomendación médica,Antiinflamatorio no esteroideo (AINE)
JABON CONSENTIDO 100 GRS,Jabón,Uso tópico para limpieza de la piel.,No aplica,"Aplicar sobre la piel húmeda, frotar y enjuagar.",No aplica
JABON PTT 100 GRS,Jabón,Uso tópico para limpieza de la piel.,No aplica,"Aplicar sobre la piel húmeda, frotar y enjuagar.",No aplica
LAGRIMAS OCULARES SIN CAJA,Solución oftálmica,Alivio de la sequedad ocular.,Generalmente hipromelosa o carboximetilcelulosa,Aplicar 1-2 gotas en cada ojo según necesidad.,Lubricante ocular
LICOPODIO BOLSA X 32 SOBRES DISFAVIL,Polvo,Uso tópico para irritaciones de la piel.,No aplica,Espolvorear sobre la zona afectada según necesidad.,No aplica
MICROGYNON CAJA X 21,Tabletas,Anticonceptivo oral.,Levonorgestrel y etinilestradiol,"Tomar una tableta diaria durante 21 días consecutivos, seguido de un descanso de 7 días.",Anticonceptivo hormonal
"NERVISEL 10,000 KIT",Inyección,Tratamiento de deficiencias de vitamina B12.,Cianocobalamina,Administrar según indicación médica.,Suplemento vitamínico
"PACHA 2,5 ONZAS BABY FEEDING BOTTLE y FARLIN",Biberón,Alimentación de bebés.,No aplica,Usar para alimentar al bebé con leche o fórmula.,No aplica
RAID CASA JARDIN,Aerosol,Insecticida para uso doméstico.,No aplica,Rociar en áreas donde se encuentren insectos.,No aplica
RIÑODREM FCO 100 TABS,Tabletas,Suplemento para la salud renal.,No aplica,Tomar según indicación médica.,No aplica
S.C.I.40 MG  BLISTER X 5 CAJA X 20,Tabletas,Tratamiento de condiciones específicas según prescripción.,No aplica,Tomar según indicación médica.,No aplica
SALON IN KERATINA SASHET,Sachet,Tratamiento capilar para fortalecer y reparar el cabello.,Keratina,"Aplicar sobre el cabello húmedo después del lavado, dejar actuar unos minutos y enjuagar.",No aplica
SAPASMOLIT BLISTER X 20,Blister,Medicamento utilizado para aliviar espasmos musculares.,Consultar en el empaque,Consultar en el empaque,Antiespasmódico
SILKA MEDIK 15 GRS,Crema,Tratamiento para infecciones fúngicas en la piel.,Clotrimazol,Aplicar una capa fina sobre la zona afectada dos veces al día.,Antifúngico
SILVERMED /SULFADIAZINA) 30 GRS,Crema,Tratamiento tópico para quemaduras y heridas infectadas.,Sulfadiazina de plata,Aplicar una capa fina sobre la zona afectada una o dos veces al día.,Antibacteriano
TE LAXANTE NATURAL CAJA X 20 SOBRES,Sobres,Infusión utilizada para aliviar el estreñimiento.,Hierbas laxantes naturales,Tomar una taza de té antes de dormir.,Laxante
TIAMINA 300 ANCALMO CAJA X 100,Tabletas,Suplemento de vitamina B1 para prevenir deficiencias.,Tiamina,Tomar una tableta al día.,Suplemento vitamínico
TINTES OFERTA,No aplica,Productos para teñir el cabello.,No aplica,Seguir las instrucciones del empaque para su aplicación.,No aplica
TOALLA ALWAYS DIA X 8,Toallas sanitarias,Producto de higiene femenina para uso diario.,No aplica,Usar según sea necesario durante el día.,No aplica
TOALLA FIORE NOCTURNA,Toallas sanitarias,Producto de higiene femenina para uso nocturno.,No aplica,Usar durante la noche según sea necesario.,No aplica
VALERIANA+MELATONINA B X 15 CAJA X 30 (SUEÑO FLORAL ),Tabletas,Suplemento para mejorar la calidad del sueño.,Valeriana y Melatonina,Tomar una tableta antes de dormir.,Inductor del sueño
VICK -44 EXPECT NIÑOS 120 ML,Jarabe,Alivio de la tos y congestión en niños,Dextrometorfano,"Consultar con un médico antes de administrar a niños. Generalmente, para niños de 6 a 12 años, 5 ml cada 6-8 horas, no exceder 4 dosis en 24 horas.",Antitusivo
FELODIPINA 5 MG BLISTER X 10,Tableta,Tratamiento de la hipertensión arterial,Felodipina,"La dosis usual es de 5 mg una vez al día, ajustada según respuesta del paciente.","Antihipertensivo, bloqueador de los canales de calcio"
