id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ABREXIL SUSP 120ML,"{'SUSPENSION': [1, 45.0]}",Suspensión,Alivio de la congestión nasal y de los síntomas asociados al resfriado común,"Clorfenamina, Fenilefrina",Tomar 5 ml cada 6 horas,"Antihistamínico, Descongestionante nasal",1,3.0,20.4,45.0,0.5466666666666667,61.2,135.0
2,ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,"{'FRASCO': [1, 18.0]}",Gotas,Alivio del dolor y la fiebre,Acetaminofén,Según indicación médica,"Analgésico, Antipirético",2,3.0,10.0,18.0,0.4444444444444444,30.0,54.0
3,ACETAMINOFEN JBE 120 ML SELEC,"{'JARABE': [1, 13.0]}",Jarabe,Alivio del dolor y la fiebre,Acetaminofén,Según indicación médica,"Analgésico, Antipirético",3,6.0,8.0,13.0,0.3846153846153846,48.0,78.0
4,ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,"{'BLISTER': [10, 20.0], 'CAJA': [50, 100.0]}",Comprimidos,Tratamiento de infecciones por herpes simple y herpes zóster,Aciclovir,Tomar 1 comprimido cada 8 horas,Antiviral,4,2.0,10.18,20.0,0.491,20.36,40.0
5,ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 12.0], 'CAJA': [100, 120.0]}",Comprimidos,Tratamiento de infecciones por herpes simple y herpes zóster,Aciclovir,Tomar 1 comprimido cada 8 horas,Antiviral,5,10.0,6.025,12.0,0.4979166666666666,60.25,120.0
6,ACICLOVIR 5% CREMA 10 GMS SELEC,"{'CREMA': [1, 9.0]}",Crema,Tratamiento tópico de infecciones por herpes labial,Aciclovir,Aplicar en la zona afectada cada 4 horas,Antiviral,6,4.0,5.15,9.0,0.4277777777777777,20.6,36.0
7,ACICLOVIR 5% CREMA 15 GMS CAPLIN,"{'CREMA': [1, 11.0]}",Crema,Tratamiento tópico de infecciones por herpes labial,Aciclovir,Aplicar en la zona afectada cada 4 horas,Antiviral,7,3.0,6.6,11.0,0.4,19.8,33.0
8,ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,"{'BLISTER': [20, 5.0], 'CAJA': [100, 25.0]}",Comprimidos,Suplemento de ácido fólico en casos de deficiencia,Ácido fólico,Según indicación médica,Suplemento vitamínico,8,9.0,2.25,5.0,0.55,20.25,45.0
9,AGUA DESTILADA PARA INYE 10 ML PROMEGAL,"{'BOTE': [1, 2.5]}",Solución inyectable,Solución estéril para uso en procedimientos médicos,Agua destilada,Según procedimiento médico,Solución estéril,9,16.0,1.2,2.5,0.52,19.2,40.0
10,AGUA OXIGENADA 3% SOL LORALVA 120 ML,"{'BOTE': [1, 2.0]}",Solución,Desinfectante y antiséptico tópico,Peróxido de hidrógeno,Según indicación médica,Antiséptico,10,15.0,1.1,2.0,0.4499999999999999,16.5,30.0
11,ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,"{'SUSPENSION': [1, 8.0]}",Suspensión,Antiparasitario,Albendazol,200mg/5ml,Antihelmíntico,11,5.0,4.65,8.0,0.4187499999999999,23.25,40.0
12,ALCOHOL 120 ML ENFERMERITA 50 %,"{'BOTE': [1, 2.5]}",Solución,Desinfectante,Alcohol,50%,Antiséptico,12,10.0,1.5,2.5,0.4,15.0,25.0
13,ALERMINE CORT CAJA X 10 TABS,"{'CAJA': [1, 10.0]}",Tabletas,Antialérgico,Desloratadina,Desloratadina 5mg + Prednisona 5mg,Antihistamínico + Corticoide,13,19.0,5.8,10.0,0.42,110.2,190.0
14,ALERMINE CORT JBE 60 ML,"{'JARABE': [1, 65.0]}",Jarabe,Antialérgico,Desloratadina,Desloratadina 2.5mg/5ml + Prednisona 2.5mg/5ml,Antihistamínico + Corticoide,14,1.0,38.6,65.0,0.4061538461538461,38.6,65.0
15,AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,"{'SUSPENSION': [1, 59.0]}",Suspensión,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 250mg/5ml + Ácido Clavulánico 62.5mg/5ml,Antibacteriano,15,2.0,35.1,59.0,0.4050847457627118,70.2,118.0
16,AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,"{'CAJA': [1, 72.0]}",Tabletas,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 875mg + Ácido Clavulánico 125mg,Antibacteriano,16,2.0,43.15,72.0,0.4006944444444444,86.3,144.0
17,AMOXICILINA 250 MG/ 120 ML SELECT,"{'BOTE': [1, 19.0]}",Suspensión,Antibiótico,Amoxicilina,250mg/5ml,Antibacteriano,17,5.0,8.6,19.0,0.5473684210526316,43.0,95.0
18,AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,"{'CAJA': [1, 22.5]}",Tabletas,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 500mg + Ácido Clavulánico 125mg,Antibacteriano,18,0.0,11.5,22.5,0.4888888888888889,0.0,0.0
19,ANTIGRIP SOBRE X 4 TAB DISP X 100,"{'CAJA': [4, 24.0], 'TABLETA': [1, 6.0]}",Tabletas,Antigripal,Paracetamol + Clorfenamina + Fenilefrina,Según indicaciones,Analgésico + Antihistamínico + Descongestionante,19,8.0,3.44,6.0,0.4266666666666667,27.52,48.0
20,ANTIGRIPITO INFANIL JBE 60 ML,"{'JARABE': [1, 29.0]}",Jarabe,Antigripal Infantil,Paracetamol + Fenilefrina + Dextrometorfano,Según indicaciones,Analgésico + Descongestionante + Antitusivo,20,0.0,16.8,29.0,0.4206896551724137,0.0,0.0
21,ANTIGRIPITO SOBRE X 4 TAB DISP X 100,"{'SOBRE': [4, 18.0], 'TABLETA': [1, 4.5]}",Tableta,Tratamiento de los síntomas de la gripe y resfriado común,Desconocido,4 tabletas por sobre,Alivio de los síntomas de la gripe y resfriado,21,5.0,2.51,4.5,0.4422222222222223,12.55,22.5
22,ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,"{'BLISTER': [10, 47.0], 'CAJA': [20, 94.0]}",Tableta,Reducción del colesterol y prevención de enfermedades cardiovasculares,Atorvastatina,40 mg,Inhibición de la enzima HMG-CoA reductasa para reducir la síntesis de colesterol,22,2.0,27.28,47.0,0.4195744680851063,54.56,94.0
23,AZITROMICINA 500 MGS CAJA X 3 UMEDICA,"{'CAJA': [1, 15.0]}",Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Inhibición de la síntesis de proteínas bacterianas,23,7.0,6.65,15.0,0.5566666666666666,46.55,105.0
24,AZITROMICINA 500 MGS CAJA X 5 SELECT,"{'CAJA': [1, 27.0]}",Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Inhibición de la síntesis de proteínas bacterianas,24,5.0,15.8,27.0,0.4148148148148148,79.0,135.0
25,BABY OR NOT PRUEBA DE EMBARAZO DISMEV,"{'SUPOSITORIO': [1, 10.0]}",Prueba de embarazo,Determinar la presencia de embarazo,Desconocido,,Detectar la hormona hCG en la orina para confirmar el embarazo,25,6.0,4.5,10.0,0.55,27.0,60.0
26,BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,"{'TUBO': [1, 23.0]}",Crema,Tratamiento de inflamaciones de la piel,"Betametasona, Ácido Salicílico","0.05% Betametasona, 3% Ácido Salicílico",Acción antiinflamatoria y queratolítica en la piel,26,3.0,13.05,23.0,0.4326086956521738,39.150000000000006,69.0
27,BIFONEX  CREMA 1% 15G SELEC TUBO,"{'CREMA': [1, 34.0]}",Crema,Tratamiento de infecciones fúngicas de la piel,Bifonazol,1%,Inhibición del crecimiento de hongos en la piel,27,2.0,19.9,34.0,0.4147058823529412,39.8,68.0
28,BIFONEX  SPRAY 1% 40 G SELEC,"{'SPRAY': [1, 59.0]}",Spray,Tratamiento de infecciones fúngicas de la piel,Bifonazol,1%,Inhibición del crecimiento de hongos en la piel,28,1.0,35.3,59.0,0.4016949152542373,35.3,59.0
30,BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,"{'CAJA': [16, 26.72], 'SOBRE': [1, 1.67]}",Condón,Método anticonceptivo de barrera,Látex,1 condón por uso,Prevención de embarazos no deseados y enfermedades de transmisión sexual,30,9.0,0.84,1.67,0.497005988023952,7.56,15.03
31,BROMURO DE OTILONIO CAJA X 30 BLIST X 15,"{'CAJA': [30, 7.6], 'BLISTER': [15, 3.8]}",Tabletas,Tratamiento de trastornos gastrointestinales como el síndrome de intestino irritable,Bromuro de Otilonio,Tomar 1 tableta 3 veces al día,Antiespasmódico,31,33.0,2.335,3.8,0.3855263157894736,77.05499999999999,125.4
32,BRONCOMAT 15 ML SOL/PARA RAESPIRAR,"{'BOTE': [1, 58.0]}",Solución para inhalación,Alivio de la congestión nasal y bronquial,Descongestionante nasal,Inhalar 1-2 veces en cada fosa nasal según sea necesario,Descongestionante,32,3.0,35.0,58.0,0.396551724137931,105.0,174.0
33,BRONCUROL NF BLIST X 10 TABS,"{'BLISTER': [10, 25.0], 'TABLETA': [1, 2.5]}",Tabletas,Tratamiento de la tos y la congestión bronquial,Descongestionante bronquial,Tomar 1 tableta cada 4-6 horas según sea necesario,Mucolítico,33,90.0,1.26,2.5,0.496,113.4,225.0
34,CALAMINA LOCION 100ML CAPLIN,"{'SPRAY': [1, 14.0]}",Loción,Alivio de la picazón y la irritación de la piel,Calamina,Aplicar sobre la piel afectada según sea necesario,Antiprurítico,34,2.0,7.8,14.0,0.4428571428571429,15.6,28.0
35,CEFADROXILO 250MG/60ML SUS SELEC,"{'SUSPENSION': [1, 22.0]}",Suspensión oral,Tratamiento de infecciones bacterianas como faringitis y amigdalitis,Cefadroxilo,Según indicación médica,Antibiótico,35,5.0,12.55,22.0,0.4295454545454545,62.75,110.0
36,CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,"{'BLIS': [10, 15.0], 'CAJA': [50, 75.0]}",Tabletas,Tratamiento de infecciones bacterianas como infecciones del tracto urinario,Cefadroxilo,Tomar 1 tableta cada 12 horas,Antibiótico,36,5.0,8.67,15.0,0.422,43.35,75.0
37,CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,"{'CAJA': [1, 52.0]}",Cápsulas,Tratamiento de infecciones bacterianas como la gonorrea,Cefixima,Tomar 1 cápsula como dosis única,Antibiótico,37,2.0,32.4,52.0,0.3769230769230769,64.8,104.0
38,CIKRASEL 40G SPRAY,"{'SPRAY': [1, 66.0]}",Spray,Alivio de la irritación de la garganta,Descongestionante oral,Rociar en la garganta según sea necesario,Descongestionante,38,1.0,40.05,66.0,0.3931818181818182,40.05,66.0
39,CIKRASEL CREMA TUBO 30GMS,"{'CREMA': [1, 35.0]}",Crema,Alivio de la picazón y la irritación de la piel,Descongestionante tópico,Aplicar sobre la piel afectada según sea necesario,Antiprurítico,39,1.0,19.1,35.0,0.4542857142857142,19.1,35.0
40,CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,"{'BLISTER': [10, 33.0], 'CAJA': [30, 99.0]}",Tabletas,Tratamiento de la hiperlipidemia,Ciprofibrato,Tomar 1 tableta al día,Hipolipemiante,40,6.0,18.9,33.0,0.4272727272727273,113.4,198.0
41,CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Tabletas,Antibiótico para infecciones bacterianas,Ciprofloxacina,500 mg,Inhibe la replicación del ADN bacteriano,41,9.0,2.64,7.0,0.6228571428571428,23.76,63.0
42,CIRUELAX 75 MG BLISTER X 10  GARDEN,"{'BLISTER': [10, 25.0], 'TABLETA': [1, 2.5]}",Tabletas,Laxante suave,No especificado,75 mg,Estimula el tránsito intestinal,42,37.0,1.53,2.5,0.388,56.61,92.5
43,CIRUELAX FORTE CAJA X 24 BLIST X 12,"{'CAJA': [24, 8.66], 'BLISTER': [12, 4.33]}",Tabletas,Laxante fuerte,No especificado,No especificado,Estimula el tránsito intestinal,43,44.0,2.764,4.33,0.3616628175519631,121.616,190.52
44,CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,"{'BLISTER': [10, 320.0], 'TABLETA': [1, 32.0]}",Cápsulas,Antibiótico para infecciones bacterianas,Clindamicina,300 mg,Inhibe la síntesis de proteínas bacterianas,44,6.0,18.75,32.0,0.4140625,112.5,192.0
