medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACETAMINOFEN MK GOTAS FCO 30 ML,Gotas,Analgésico y antipirético,Acetaminofen,Según indicación médica,Reduce la fiebre y alivia el dolor
ACETAMINOFEN MK JBE NIÑOS 120 MG X 60 ML,Jarabe,Analgésico y antipirético para niños,Acetaminofen,Según indicación médica,Reduce la fiebre y alivia el dolor en niños
ALGODÓN ROLLO LIBRA,Rollo,Para uso en curaciones y limpieza de heridas,No aplica,Según necesidad,Absorbe líquidos y protege la piel
ALKA  AD CAJA X 72,Tabletas efervescentes,Antiácido y analgésico,Aluminio hidróxido y magnesio hidróxido,Según indicación médica,Neutraliza el ácido estomacal y alivia el dolor
ANADENT CAJA  X 100 BLIST X 4,Tabletas,Analgésico y antiinflamatorio,Diclofenaco,Según indicación médica,Alivia el dolor y reduce la inflamación
ARTRI AJO KING  X 100 TAB,Tabletas,Suplemento alimenticio,Ajo,1 tableta al día,Ayuda a mantener la salud cardiovascular
ARTRI KING CAJA X 100 TABS,Tabletas,Suplemento alimenticio,Glucosamina y condroitina,Según indicación médica,Ayuda a mantener la salud de las articulaciones
ARTRIBION FORTE FCO X 100 TABS,Tabletas,Analgésico y antiinflamatorio,"Diclofenaco, paracetamol y vitaminas",Según indicación médica,Alivia el dolor y reduce la inflamación
ARTRIBION VITAMINADO BLIST X 4 CAJA X 20 SOBRES,Sobres,Suplemento alimenticio,"Glucosamina, condroitina, vitaminas y minerales",Según indicación médica,Ayuda a mantener la salud de las articulaciones y aporta nutrientes esenciales
BARMICIL  TUBO 40 GRS,Crema,Antibiótico y antiinflamatorio tópico,Betametasona y gentamicina,Aplicar en la zona afectada según indicación médica,Combate infecciones y reduce la inflamación en la piel
BETA 2 PAN KIT AMPOLLA,Ampolla,Broncodilatador,Salbutamol,2.5 mg/2.5 ml,Relajante de la musculatura lisa de las vías respiratorias
BISMUTO X 100 U,Tableta,Antiácido y gastroprotector,Bismuto,100 mg,Protección de la mucosa gástrica
BROMHEXINA 120 ML JBE SELEC (EXIFLEM),Jarabe,Mucolítico y expectorante,Bromhexina,4 mg/ml,Facilita la eliminación de secreciones bronquiales
BRONCUROL JBE 120 ML,Jarabe,Antitusivo y broncodilatador,Ambroxol,15 mg/5 ml,Alivia la tos y facilita la respiración
BUSCAPINA COMPUESTA BLISTER X 12 CAJA X 24,Tableta,Analgésico y antiespasmódico,Butilhioscina y paracetamol,10 mg y 500 mg,Alivia el dolor abdominal y los espasmos intestinales
BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,Tableta,Antiinflamatorio no esteroideo,Fenilbutazona,100 mg,Reduce la inflamación y el dolor
CALCIO + MAGNESIO VESA FCO X 100 GELCAPS,Cápsula,Suplemento dietético,Calcio y magnesio,500 mg y 250 mg,Fortalece los huesos y músculos
CANESTEN EXTRA,Crema,Antifúngico,Clotrimazol,1%,Tratamiento de infecciones por hongos en la piel
CARDIOASPIRINA 81 MG X 30 TAB FCO,Tableta,Antiagregante plaquetario,Ácido acetilsalicílico,81 mg,Prevención de eventos cardiovasculares
CEFTRIAXONA 1GR+LIDOC KIT PROMEGAL,Kit,Antibiótico y anestésico local,Ceftriaxona y lidocaína,1 g y 20 mg,Tratamiento de infecciones bacterianas
CENTRUM HOMBRE CAJA X 60,Tabletas recubiertas,Suplemento vitamínico y mineral para hombres,Vitaminas y minerales,Tomar 1 tableta al día,Suplemento nutricional
CENTRUM KIDS,Tabletas masticables,Suplemento vitamínico y mineral para niños,Vitaminas y minerales,Según indicación del pediatra,Suplemento nutricional
CENTRUM MUJER  CAJA X 60,Tabletas recubiertas,Suplemento vitamínico y mineral para mujeres,Vitaminas y minerales,Tomar 1 tableta al día,Suplemento nutricional
CENTRUM SILVER CAJA X 60 CAPS,Cápsulas,Suplemento vitamínico y mineral para adultos mayores,Vitaminas y minerales,Tomar 1 cápsula al día,Suplemento nutricional
CITRATO DE POTASIO Y MAGNESIO CAJA X 60 CAPS,Cápsulas,Suplemento de citrato de potasio y magnesio,"Citrato de potasio, citrato de magnesio",Tomar 1 cápsula al día,Suplemento mineral
COBALEX 10 ML  VIAL VIJOSA (CIANOCOBALAMINA),Solución inyectable,Suplemento de cianocobalamina (vitamina B12),Cianocobalamina,Según indicación médica,Suplemento vitamínico
CODERPINA 10 MG BLIST X 10 TAB FRYSIA CAJA X 20,Tabletas,Analgésico y antipirético,Codeína fosfato,Tomar 1 tableta cada 4-6 horas según necesidad,"Analgésico, antipirético"
COLAGENO FCO X 100 TABS,Tabletas,Suplemento de colágeno,Colágeno,Tomar 1 tableta al día,Suplemento nutricional
COLAGENO+ACIDO HIALURONICO VESA FCO X 100 GELCAPS,Cápsulas,Suplemento de colágeno y ácido hialurónico,"Colágeno, ácido hialurónico",Tomar 1 cápsula al día,Suplemento nutricional
COLECTOR DE HECES GRANDE,Dispositivo,Para la recolección de muestras de heces,N/A,Según indicación médica,Dispositivo médico
COLITRAN BLIST X 10 CAJA X 100,Tabletas,Tratamiento de la colitis,No especificado,Según indicación médica,Antiinflamatorio
COMPLEBEN INYECTADO CAJA X 7,Inyectable,Complemento vitamínico,Vitaminas del complejo B,Según indicación médica,Suplemento nutricional
COMPLEJO B VIAL 10 ML BONIN,Solución inyectable,Complemento vitamínico,Vitaminas del complejo B,Según indicación médica,Suplemento nutricional
CONMEL (DIPIRONA) CAJA X 100 BLISTER X 4,Tabletas,Analgésico y antipirético,Dipirona,Según indicación médica,Analgésico y antipirético
CRANBERRY X 100 VESA,Cápsulas,Suplemento dietético,Extracto de arándano rojo,Según indicación médica,Antioxidante y protector urinario
