medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
AGUAPURA 500 ML MEMBERS,Solución,Hidratación y consumo diario,Agua purificada,Consumir según necesidad de hidratación,Rehidratante
ALGODÓN ZUUM 25 GRS,Algodón,Uso tópico para limpieza y cuidado de heridas,Algodón,Usar según sea necesario para limpieza,Absorbente y limpiador
ALGODÓN ZUUM 50 GRS,Algodón,Uso tópico para limpieza y cuidado de heridas,Algodón,Usar según sea necesario para limpieza,Absorbente y limpiador
APROVEL (IRBERSARTAN 150 MGS) BLIST X 14,Tableta,Tratamiento de la hipertensión,Irbesartán,"Una tableta diaria, con o sin alimentos",Antihipertensivo
BETAMETASONA 8 MGS AMP 2 ML ERISPAN MEXICO,Ampolla,Tratamiento de condiciones inflamatorias,Betametasona,Administrar por vía intramuscular según indicación médica,Corticosteroide antiinflamatorio
BRONCOTOS ( CARB+CLORFE+DEXTRO) FCO 120 ML GEBEQUIMIC,Jarabe,Alivio de la tos y síntomas del resfriado,"Carbocisteína, Clorfenamina, Dextrometorfano",5 ml cada 6-8 horas según necesidad,Antitusivo y descongestionante
"BUDENA 0,5 MG AMPOLLA CAJA X 5",Ampolla,Tratamiento de enfermedades respiratorias inflamatorias,Budesonida,Inhalación según prescripción médica,Corticosteroide inhalado
"CALLOSOL LIQUIDO (CALLOS, VERRUGAS Y MEZQUIINOS)",Líquido,"Eliminación de callos, verrugas y mezquinos",Ácido salicílico,Aplicar una vez al día sobre la zona afectada,Queratinolítico
CEREBREX CAPSULA BLIST X 10 CAJA X 60,Cápsula,Tratamiento del dolor y la inflamación,Celecoxib,200 mg una vez al día o 100 mg dos veces al día,Antiinflamatorio no esteroideo (AINE)
CETAMIN CC BLISTER X 10 LAPRIN,Comprimido,Suplemento vitamínico y mineral,Multivitamínico,Un comprimido diario,Suplemento nutricional
CITRATO DE MAGNESIO FCO DE 60 CAPSULAS,Cápsulas,Suplemento dietético utilizado para prevenir y tratar niveles bajos de magnesio en la sangre.,Citrato de magnesio,"Tomar 2 cápsulas al día con un vaso de agua, preferiblemente con las comidas.","Aumenta los niveles de magnesio en el cuerpo, esencial para el funcionamiento normal de las células, nervios, músculos, huesos y corazón."
CLEVIUM DEXKETOPROFENO 25 MG X 10 TAB,Tabletas,Analgésico utilizado para el alivio del dolor de intensidad leve a moderada.,Dexketoprofeno,"Tomar 1 tableta cada 8 horas según sea necesario, no exceder de 3 tabletas al día.","Inhibe la síntesis de prostaglandinas, reduciendo el dolor y la inflamación."
CLEVIUM DEXKETOPROFENO 50 MG AMPOLLA,Ampolla,Analgésico para el tratamiento del dolor agudo de intensidad moderada a severa.,Dexketoprofeno,"Administrar por vía intramuscular o intravenosa cada 8 horas según necesidad, no exceder de 150 mg al día.","Actúa inhibiendo la síntesis de prostaglandinas, proporcionando alivio del dolor y la inflamación."
CLORURO DE MAGNESIO 100 GRAMOS QUIMICA U,Polvo,Suplemento mineral utilizado para mantener niveles adecuados de magnesio en el cuerpo.,Cloruro de magnesio,Disolver 1 cucharadita en un vaso de agua y tomar una vez al día.,"Proporciona magnesio, esencial para muchas funciones corporales, incluyendo el funcionamiento muscular y nervioso."
CLORURO DE MAGNESIO CAJA X 100 TAB,Tabletas,Suplemento mineral para corregir deficiencias de magnesio.,Cloruro de magnesio,Tomar 1-2 tabletas al día con un vaso de agua.,"Aumenta los niveles de magnesio, necesario para el funcionamiento adecuado de músculos, nervios y huesos."
COFAL FORTE TARRO 60 GRS ROJO,Ungüento,Alivio temporal de dolores musculares y articulares.,"Mentol, Salicilato de metilo",Aplicar una cantidad adecuada en la zona afectada 3-4 veces al día.,Produce una sensación de calor que ayuda a aliviar el dolor muscular y articular.
COFAL TARRO 60 GRS AZUL,Ungüento,Alivio de dolores musculares y articulares.,"Mentol, Salicilato de metilo",Aplicar sobre el área afectada 3-4 veces al día.,Proporciona alivio del dolor mediante un efecto de calentamiento en la piel.
DEZZZCANSAR 50 MG BISTER X 10 CAJA 100,Tabletas,Ayuda a conciliar el sueño en casos de insomnio ocasional.,Difenhidramina,Tomar 1 tableta 30 minutos antes de acostarse.,Antihistamínico con efecto sedante que ayuda a inducir el sueño.
DIOSMINA CAJA X 30 BLISTER X 10 (DIOSMIL),Tabletas,Tratamiento de insuficiencia venosa crónica y síntomas relacionados.,Diosmina,"Tomar 1-2 tabletas al día, preferiblemente con las comidas.","Mejora el tono venoso y la microcirculación, reduciendo la inflamación y el edema."
DOLGENAL 20 MG,Tabletas,Analgésico para el alivio del dolor leve a moderado.,Ketorolaco,"Tomar 1 tableta cada 4-6 horas según necesidad, no exceder de 4 tabletas al día.","Inhibe la síntesis de prostaglandinas, reduciendo el dolor y la inflamación."
DOLO TETRAVIT BLIST X 10,Tabletas,Analgésico para el alivio del dolor leve a moderado.,Paracetamol,Tomar 1 tableta cada 6-8 horas según sea necesario.,Analgésico y antipirético.
DOLODIROL (ACETA+ TRAMA) CJ X 100 BLIST X 5,Tabletas,Para el alivio del dolor agudo de moderado a severo.,Paracetamol y Tramadol,Tomar 1-2 tabletas cada 4-6 horas según sea necesario.,Analgésico combinado.
DOLOFIN DISP X 100,Tabletas,Alivio del dolor y la inflamación.,Ibuprofeno,Tomar 1 tableta cada 6-8 horas según sea necesario.,Antiinflamatorio no esteroideo (AINE).
DONOFLAT PLUS BLIST X 10 CAJA X 120,Tabletas,Tratamiento de trastornos digestivos.,Simeticona y Dimeticona,Tomar 1 tableta después de las comidas.,Antiflatulento.
DORIXINA RELAX BLIST X 10 TABS,Tabletas,Alivio del dolor muscular y esquelético.,Clonixinato de lisina y Ciclobenzaprina,Tomar 1 tableta cada 8 horas según sea necesario.,Analgésico y relajante muscular.
ENERGIWOMAN BLISTER X 10,Tabletas,Suplemento vitamínico para mujeres.,Complejo vitamínico y mineral,Tomar 1 tableta diaria.,Suplemento nutricional.
ENTEROGERMINA 4 BILLONES CAJA X 10 AMP,Ampollas bebibles,Restauración de la flora intestinal.,Bacillus clausii,Tomar 1 ampolla 1-2 veces al día.,Probiótico.
EQUIPO PARA SUERO NIPRO,Equipo médico,Administración de soluciones intravenosas.,No aplica,Usar según indicaciones médicas.,Equipo para infusión intravenosa.
ESIDEP (ESCITALOPRAM) 10 MGS BLISTER X 10,Tabletas,Tratamiento de la depresión y ansiedad.,Escitalopram,Tomar 1 tableta diaria.,Inhibidor selectivo de la recaptación de serotonina (ISRS).
FENOFIBRATO 250 MGS BLIST X 10,Tabletas,Reducción de los niveles de colesterol y triglicéridos.,Fenofibrato,Tomar 1 tableta diaria con alimentos.,Agente hipolipemiante.
FIBRA GEL OSO 12 GRS CAJA X 30 SASHETS,Sachet,Suplemento de fibra dietética para mejorar la salud digestiva.,Fibra,Tomar un sobre al día disuelto en agua.,Mejora la motilidad intestinal y regula el tránsito intestinal.
FIBRA PSLLYUM PLANTAGO 400 G,Polvo,Suplemento de fibra para el tratamiento del estreñimiento.,Psyllium,Tomar una cucharada al día disuelta en agua.,Aumenta el volumen fecal y facilita la evacuación.
GRIPETIN DIA CAJA X 120 CARTERITA X 4 GEL CAPS,Gel cápsulas,Alivio de los síntomas del resfriado común durante el día.,"Paracetamol, Fenilefrina",Tomar una cápsula cada 6 horas mientras persistan los síntomas.,Analgesia y descongestión nasal.
GRIPETIN NOCHE CAJA X 120 CARTERITA X 4 GEL CAPS,Gel cápsulas,Alivio de los síntomas del resfriado común durante la noche.,"Paracetamol, Difenhidramina",Tomar una cápsula antes de dormir.,Analgesia y antihistamínico para facilitar el sueño.
HIERRO SACAROSA 100MG/5ML CAJA X 10 VITALIS,Solución inyectable,Tratamiento de la deficiencia de hierro.,Hierro sacarosa,Administrar por vía intravenosa según indicación médica.,Suplementación de hierro para corregir la anemia.
INSULINA SEMGLEE X 10 ML,Solución inyectable,Control de la glucosa en pacientes con diabetes.,Insulina glargina,Administrar una vez al día a la misma hora.,Regulación de los niveles de glucosa en sangre.
JERINGA INSULINA 1 CC 30X 1/2 CAJA X 100,Jeringa,Administración de insulina en pacientes diabéticos.,N/A,Usar según la dosis prescrita de insulina.,Facilita la administración precisa de insulina.
KISAT CAJA X 30 TABS BLIST X 15,Tabletas,Tratamiento de infecciones bacterianas.,Cefuroxima,Tomar una tableta cada 12 horas durante 7-10 días.,Antibiótico de amplio espectro.
LEVOFLOXACINA 750MG CAJA X 10 TABS PROMEGAL,Tabletas,Tratamiento de infecciones bacterianas.,Levofloxacina,Tomar una tableta al día durante 7-14 días.,Antibiótico de amplio espectro.
LEVONORGESTREL DISPENSADOR X 11 TAB,Tabletas,Anticonceptivo de emergencia.,Levonorgestrel,Tomar una tableta lo antes posible después de la relación sin protección.,Previene la ovulación o la fertilización.
LEVONORGESTREL+ETINILESTRADIOL CAJA X 21 DIBA,Tabletas,Anticonceptivo oral para la prevención del embarazo.,"Levonorgestrel, Etinilestradiol","Tomar una tableta diaria a la misma hora durante 21 días consecutivos, seguido de un descanso de 7 días.",Inhibe la ovulación y provoca cambios en el moco cervical.
